stage,phase,experiment,representation,model,val_mcc,public_lb,final_hidden,delta,decision,reason
0,1,Baseline LogReg(saga) ElasticNet,morph TF-IDF,LogReg ElasticNet,0.7402,0.733,,,adopted,reference point
1,1,Over-preprocessing (POS-9 whitelist + NEG_verb),morph filtered,LogReg ElasticNet,0.6915,,,-0.019,discarded,morpheme/tense loss; min_df collapse
2,1,SGD Grid v1 (alpha 1e-4..1e-3),morph TF-IDF,SGDClassifier,0.645,,,-0.088,discarded,~25x over-regularization (alpha-scale misread)
3,1,SGD Grid v2 average=True,morph TF-IDF,SGDClassifier,0.7278,,,-0.011,discarded,Polyak averaging nullified L1 sparsity
4,1,SGD Grid v3 average=False,morph TF-IDF,SGDClassifier,0.7391,,,~0,discarded,equivalent to LogReg; no ensemble value
5,1,3-View ensemble,char+morph+sentiment,LogReg x3,,0.750,,0.017,adopted,orthogonal feature dimensions
6,1,4-Model (+ ComplementNB),char+morph+sentiment,LogReg x3 + ComplementNB,,0.753,,0.003,adopted,discriminative x generative diversity
7,1,Augmented Stacking (12 meta + LogReg L2),16-d meta,LogReg L2 meta,,0.757,,0.004,adopted,information-dimension expansion (star)
8,1,HistGBT meta (sw 1.25/1.15),16-d meta,HistGBT meta,0.7748,0.750,,-0.007,discarded,meta learner overfit; negative gap
9,1,Threshold recalibration grid (132 combos),16-d meta,LogReg L2 + grid,0.7745,0.753,,,discarded,joint weight x tau tuning -> val overfit
10,1,Threshold-only sweep (0.500/0.505/0.510),16-d meta,LogReg L2,,0.749,,~0,discarded,zero-sum; model already calibrated
P1,1,Phase 1 FINAL (Drill-05 submission),16-d meta,Augmented stacking,,0.757,0.7522,,result,public 5th -> final hidden 9/19
B,2,Drill-05 carry-over baseline (Phase 2 ref),sparse TF-IDF,sklearn stacking,,,0.665278,,reference,baseline on Drill-06 hidden test
11,2,Drill-06 dense-embedding stacking,TF-IDF x e5 x KR-SBERT,5-fold OOF + LogReg L2,,,0.753970,0.088692,adopted,sparse->dense semantic; hidden 3/18
